group	CellType	NEURONAL/NON-NEURONAL
367_Oligo	Oligo	Non-Neuronal
299_L6 CT ENT	L6 CT ENT	Neuronal
323_ProS	ProS	Neuronal
146_L2 IT ENTm	L2 IT ENTm	Neuronal
153_L2/3 IT ENTl	L2/3 IT ENTl	Neuronal
208_L5/6 IT CTX	L5/6 IT CTX	Neuronal
388_Micro-PVM	Micro-PVM	Non-Neuronal
47_Vip	Vip	Neuronal
264_L5/6 NP CTX	L5/6 NP CTX	Neuronal
280_L6 CT CTX	L6 CT CTX	Neuronal
91_Sst	Sst	Neuronal
349_Mossy	Mossy	Neuronal
89_Sst	Sst	Neuronal
348_CA1-do	CA1-do	Neuronal
333_CA1-ProS	CA1-ProS	Neuronal
152_L2/3 IT ENTl	L2/3 IT ENTl	Neuronal
386_Micro-PVM	Micro-PVM	Non-Neuronal
42_Vip	Vip	Neuronal
310_L6b RHP	L6b RHP	Neuronal
343_CA1	CA1	Neuronal
51_Vip	Vip	Neuronal
151_L2 IT ENTl	L2 IT ENTl	Neuronal
170_L2/3 IT CTX	L2/3 IT CTX	Neuronal
182_L4/5 IT CTX	L4/5 IT CTX	Neuronal
270_L5/6 NP CT CTX	L5/6 NP CT CTX	Neuronal
249_L5 PT CTX	L5 PT CTX	Neuronal
285_L6 CT CTX	L6 CT CTX	Neuronal
302_L6b ENT	L6b ENT	Neuronal
34_Sncg	Sncg	Neuronal
113_Pvalb	Pvalb	Neuronal
124_L2 IT APr	L2 IT APr	Neuronal
214_L5/6 IT PFC	L5/6 IT PFC	Neuronal
247_L5 PT CTX	L5 PT CTX	Neuronal
346_CA1-do	CA1-do	Neuronal
305_L6b CTX	L6b CTX	Neuronal
250_L5 PT CTX	L5 PT CTX	Neuronal
194_L5 IT RSP-ACA	L5 IT RSP-ACA	Neuronal
282_L6 CT CTX	L6 CT CTX	Neuronal
48_Vip	Vip	Neuronal
244_L5 PT CTX	L5 PT CTX	Neuronal
259_L5 PT CTX	L5 PT CTX	Neuronal
332_CA1-ProS	CA1-ProS	Neuronal
345_CA1	CA1	Neuronal
306_L6b CTX	L6b CTX	Neuronal
92_Sst	Sst	Neuronal
112_Pvalb	Pvalb	Neuronal
156_L2/3 IT ENTl	L2/3 IT ENTl	Neuronal
241_L5 PT CTX	L5 PT CTX	Neuronal
364_DG	DG	Neuronal
379_Endo	Endo	Non-Neuronal
53_Vip	Vip	Neuronal
171_L2/3 IT CTX	L2/3 IT CTX	Neuronal
357_CA3-do	CA3-do	Neuronal
382_SMC-Peri	SMC-Peri	Non-Neuronal
90_Sst	Sst	Neuronal
248_L5 PT CTX	L5 PT CTX	Neuronal
365_Oligo	Oligo	Non-Neuronal
125_L2 IT APr	L2 IT APr	Neuronal
314_L6b CTX	L6b CTX	Neuronal
315_L6b CTX	L6b CTX	Neuronal
235_L6 IT ENTl	L6 IT ENTl	Neuronal
167_L2/3 IT CTX	L2/3 IT CTX	Neuronal
216_L5/6 IT TPE-ENT	L5/6 IT TPE-ENT	Neuronal
329_CA1-ProS	CA1-ProS	Neuronal
81_Sst	Sst	Neuronal
39_Sncg	Sncg	Neuronal
139_L3 IT ENTl	L3 IT ENTl	Neuronal
321_SUB	SUB	Neuronal
99_Sst	Sst	Neuronal
72_Sst	Sst	Neuronal
201_L5 IT CTX	L5 IT CTX	Neuronal
200_L5 IT CTX	L5 IT CTX	Neuronal
226_L6 IT CTX	L6 IT CTX	Neuronal
288_L6 CT CTX	L6 CT CTX	Neuronal
294_CT SUB	CT SUB	Neuronal
376_Astro	Astro	Non-Neuronal
217_L6 IT CTX	L6 IT CTX	Neuronal
50_Vip	Vip	Neuronal
190_L4/5 IT CTX	L4/5 IT CTX	Neuronal
207_L5/6 IT CTX	L5/6 IT CTX	Neuronal
342_CA1	CA1	Neuronal
260_L5 PT CTX	L5 PT CTX	Neuronal
324_ProS	ProS	Neuronal
178_L4 IT CTX	L4 IT CTX	Neuronal
284_L6 CT CTX	L6 CT CTX	Neuronal
377_Astro	Astro	Non-Neuronal
298_L6 CT ENT	L6 CT ENT	Neuronal
